Date,Units Sold,Inventory Level,Units Ordered,Demand,Price,Competitor Pricing,Discount,Promotion,Epidemic,Seasonality,Weather_Cloudy,Weather_Rainy,Weather_Snowy,Weather_Sunny,DayOfWeek,DayOfMonth,WeekOfYear,Month,IsWeekend,UnitsSold_Lag_1,UnitsSold_Lag_7,UnitsSold_Lag_14,UnitsSold_Lag_21,UnitsSold_Lag_28,UnitsSold_RollingMean_7,UnitsSold_RollingMean_14,UnitsSold_RollingMean_28,UnitsSold_RollingStd_7,UnitsSold_RollingStd_14,UnitsSold_RollingStd_28
2022-01-29,545,2116,1029,603,35.03,37.64,8.0,0.0,0,Winter,20.0,0.0,0.0,80.0,5,29,4,1,1,513.0,520.0,393.0,789.0,410.0,543.1428571428571,527.0,504.5,89.75044767098852,113.12960572859652,148.39898671911226
2022-01-30,509,1749,347,530,40.02,44.6,3.0,0.0,0,Winter,40.0,0.0,60.0,0.0,6,30,4,1,1,545.0,687.0,473.0,374.0,401.0,546.7142857142857,537.8571428571429,509.32142857142856,89.17158419906768,106.37224706216824,147.40472216452943
2022-01-31,547,1917,0,609,37.72,35.95,8.0,0.0,0,Winter,60.0,0.0,0.0,40.0,0,31,5,1,0,509.0,402.0,672.0,599.0,106.0,521.2857142857143,540.4285714285714,513.1785714285714,64.45337923831536,105.11145314578044,145.8703263738109
2022-02-01,541,2076,518,567,34.36,31.26,14.0,100.0,0,Winter,0.0,0.0,100.0,0.0,1,1,5,2,0,547.0,527.0,426.0,555.0,236.0,542.0,531.5,528.9285714285714,37.31398308051992,98.15431335794288,122.15864868987153
2022-02-02,709,2205,1637,744,38.78,40.93,13.0,100.0,0,Winter,40.0,0.0,0.0,60.0,2,2,5,2,0,541.0,533.0,381.0,408.0,441.0,544.0,539.7142857142857,539.8214285714286,36.74688195389271,93.34009656291148,107.82875778423404
2022-02-03,436,1496,0,576,36.58,35.48,8.0,0.0,0,Winter,80.0,0.0,0.0,20.0,3,3,5,2,0,709.0,620.0,499.0,595.0,555.0,569.1428571428571,563.1428571428571,549.3928571428571,71.62501558214726,91.58590514908964,110.5911185522848
2022-02-04,441,1525,384,465,33.02,33.72,7.0,0.0,0,Winter,20.0,0.0,40.0,40.0,4,4,5,2,0,436.0,513.0,732.0,657.0,622.0,542.8571428571429,558.6428571428571,545.1428571428571,82.74947849065987,96.401090915354,112.63533893374486
2022-02-05,429,2109,421,469,32.75,35.47,5.0,0.0,0,Winter,40.0,0.0,0.0,60.0,5,5,5,2,1,441.0,545.0,520.0,393.0,789.0,532.5714285714286,537.8571428571429,538.6785714285714,91.12968258267468,87.06748677174083,113.25325719179236
2022-02-06,454,2345,426,501,36.91,39.72,2.0,0.0,0,Winter,40.0,0.0,20.0,40.0,6,6,5,2,1,429.0,509.0,687.0,473.0,374.0,516.0,531.3571428571429,525.8214285714286,98.72351965632774,91.7728023585815,103.82501431679944
2022-02-07,473,1891,718,522,31.46,35.72,19.0,100.0,0,Winter,0.0,0.0,60.0,40.0,0,7,6,2,0,454.0,547.0,402.0,672.0,599.0,508.1428571428572,514.7142857142857,528.6785714285714,101.52245822383104,81.98069995331319,100.54114822684538
2022-02-08,535,1802,681,659,39.08,42.48,3.0,0.0,0,Winter,0.0,0.0,60.0,40.0,1,8,6,2,0,473.0,541.0,527.0,426.0,555.0,497.57142857142856,519.7857142857143,524.1785714285714,100.65097638681428,76.48346082794491,100.09589978335356
2022-02-09,503,1963,319,619,39.31,39.03,7.0,0.0,0,Winter,20.0,0.0,0.0,80.0,2,9,6,2,0,535.0,709.0,533.0,381.0,408.0,496.7142857142857,520.3571428571429,523.4642857142857,100.24422557885696,76.57134143836278,99.93904888512547
2022-02-10,453,2329,569,590,36.41,37.48,5.0,0.0,0,Winter,40.0,0.0,20.0,40.0,3,10,6,2,0,503.0,436.0,620.0,499.0,595.0,467.2857142857143,518.2142857142857,526.8571428571429,39.16935147839565,76.61008024799607,97.4556743633149
2022-02-11,569,2195,433,611,39.52,38.49,5.0,0.0,0,Winter,20.0,0.0,20.0,60.0,4,11,6,2,0,453.0,441.0,513.0,732.0,657.0,469.7142857142857,506.2857142857143,521.7857142857143,37.39302201264422,72.42973100920592,97.47301892313293
2022-02-12,834,2307,2481,1029,42.43,45.39,19.0,100.0,0,Winter,20.0,0.0,40.0,40.0,5,12,6,2,1,569.0,429.0,545.0,520.0,393.0,488.0,510.2857142857143,518.6428571428571,50.13648039767714,74.34992997920095,94.31947848225217
