Date,Actual,Forecast,Error,Absolute_Error
2024-01-03,294,298,4,4
2024-01-04,416,356,-60,60
2024-01-05,245,252,7,7
2024-01-06,308,350,42,42
2024-01-07,230,270,40,40
2024-01-08,262,269,7,7
2024-01-09,427,414,-13,13
2024-01-10,534,627,93,93
2024-01-11,365,382,17,17
2024-01-12,578,489,-89,89
2024-01-13,586,563,-23,23
2024-01-14,622,611,-11,11
2024-01-15,462,515,53,53
2024-01-16,731,662,-69,69
2024-01-17,382,412,30,30
2024-01-18,333,349,16,16
2024-01-19,294,302,8,8
2024-01-20,461,430,-31,31
2024-01-21,414,386,-28,28
2024-01-22,332,329,-3,3
2024-01-23,283,284,1,1
2024-01-24,362,320,-42,42
2024-01-25,579,484,-95,95
2024-01-26,395,389,-6,6
2024-01-27,542,643,101,101
2024-01-28,339,455,116,116
2024-01-29,502,538,36,36
2024-01-30,450,456,6,6
