Date,Units Sold,Inventory Level,Units Ordered,Demand,Price,Competitor Pricing,Discount,Promotion,Epidemic,Seasonality,Weather_Cloudy,Weather_Rainy,Weather_Snowy,Weather_Sunny
2022-01-01,480,948,966,592,84.12,95.62,5.0,0.0,0,Winter,20.0,0.0,60.0,20.0
2022-01-02,391,607,950,635,88.75,88.47,6.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-03,417,669,265,622,90.09,90.75,4.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-04,645,1347,859,759,83.04,89.51,20.0,100.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-05,644,1311,897,807,82.48,89.94,16.0,100.0,0,Winter,20.0,0.0,60.0,20.0
2022-01-06,702,1305,657,746,85.56,90.13,16.0,100.0,0,Winter,0.0,0.0,60.0,40.0
2022-01-07,522,1757,706,733,95.74,90.0,5.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-08,478,1437,105,534,80.52,85.2,9.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-09,509,1570,271,670,92.98,92.3,3.0,0.0,0,Winter,40.0,0.0,0.0,60.0
2022-01-10,641,1836,807,716,95.41,103.9,4.0,0.0,0,Winter,100.0,0.0,0.0,0.0
2022-01-11,698,1504,767,828,96.93,99.72,6.0,0.0,0,Winter,60.0,0.0,0.0,40.0
2022-01-12,652,1217,899,798,80.85,87.82,18.0,100.0,0,Winter,0.0,0.0,80.0,20.0
2022-01-13,417,1829,158,509,83.4,93.64,5.0,0.0,0,Winter,100.0,0.0,0.0,0.0
2022-01-14,720,1570,940,786,81.73,81.82,19.0,100.0,0,Winter,40.0,0.0,20.0,40.0
2022-01-15,434,1576,166,601,82.67,87.04,8.0,0.0,0,Winter,0.0,0.0,40.0,60.0
2022-01-16,461,1625,113,551,76.28,78.21,16.0,100.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-17,517,1663,338,718,77.25,81.04,19.0,100.0,0,Winter,20.0,0.0,40.0,40.0
2022-01-18,550,1484,818,678,82.17,85.46,16.0,100.0,0,Winter,40.0,0.0,60.0,0.0
2022-01-19,498,1135,621,621,91.03,94.35,2.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-20,435,1064,225,466,81.49,93.01,4.0,0.0,0,Winter,20.0,0.0,60.0,20.0
2022-01-21,498,1070,331,640,74.62,73.81,22.0,100.0,0,Winter,0.0,0.0,40.0,60.0
2022-01-22,400,1498,0,402,73.08,78.84,8.0,0.0,0,Winter,20.0,0.0,20.0,60.0
2022-01-23,272,1098,502,321,76.97,76.45,2.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-24,409,931,495,547,72.5,73.79,19.0,100.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-25,312,942,115,355,76.86,77.85,4.0,0.0,0,Winter,20.0,0.0,80.0,0.0
2022-01-26,351,1217,581,471,80.74,81.36,4.0,0.0,0,Winter,60.0,0.0,40.0,0.0
2022-01-27,295,1096,130,311,73.0,77.06,3.0,0.0,0,Winter,60.0,0.0,40.0,0.0
2022-01-28,437,931,539,437,78.78,79.76,5.0,0.0,0,Winter,20.0,0.0,40.0,40.0
2022-01-29,369,948,359,439,79.89,82.8,4.0,0.0,0,Winter,20.0,0.0,0.0,80.0
2022-01-30,357,863,217,403,76.51,78.13,5.0,0.0,0,Winter,40.0,0.0,60.0,0.0
2022-01-31,409,1234,835,551,82.64,87.57,6.0,0.0,0,Winter,60.0,0.0,0.0,40.0
2022-02-01,588,1008,647,603,91.18,85.35,4.0,0.0,0,Winter,0.0,0.0,100.0,0.0
2022-02-02,696,995,954,816,82.26,89.38,21.0,100.0,0,Winter,40.0,0.0,0.0,60.0
2022-02-03,677,974,1184,989,94.29,96.11,16.0,100.0,0,Winter,80.0,0.0,0.0,20.0
2022-02-04,492,1144,0,540,81.58,84.37,6.0,0.0,0,Winter,20.0,0.0,40.0,40.0
2022-02-05,505,1635,746,749,85.71,84.7,16.0,100.0,0,Winter,40.0,0.0,0.0,60.0
2022-02-06,648,1790,259,656,90.55,94.06,6.0,0.0,0,Winter,40.0,0.0,20.0,40.0
2022-02-07,633,1844,581,588,85.95,89.23,6.0,0.0,0,Winter,0.0,0.0,60.0,40.0
2022-02-08,435,1466,750,645,95.39,98.14,4.0,0.0,0,Winter,0.0,0.0,60.0,40.0
2022-02-09,585,1163,225,633,91.8,92.03,5.0,0.0,0,Winter,20.0,0.0,0.0,80.0
2022-02-10,339,1129,0,416,82.25,74.05,4.0,0.0,0,Winter,40.0,0.0,20.0,40.0
2022-02-11,498,1408,953,647,90.22,84.53,4.0,0.0,0,Winter,20.0,0.0,20.0,60.0
2022-02-12,521,1175,886,745,84.54,90.81,16.0,100.0,0,Winter,20.0,0.0,40.0,40.0
2022-02-13,330,1127,119,505,83.86,90.14,4.0,0.0,0,Winter,40.0,0.0,60.0,0.0
2022-02-14,533,1309,930,711,82.62,82.65,17.0,100.0,0,Winter,40.0,0.0,40.0,20.0
2022-02-15,657,1794,315,667,92.41,96.39,4.0,0.0,0,Winter,20.0,0.0,80.0,0.0
2022-02-16,636,1692,1065,795,82.33,93.45,19.0,100.0,0,Winter,40.0,0.0,20.0,40.0
2022-02-17,601,1523,302,686,96.21,94.52,4.0,0.0,0,Winter,40.0,0.0,20.0,40.0
2022-02-18,452,1540,0,467,79.88,82.1,9.0,0.0,0,Winter,0.0,0.0,0.0,100.0
2022-02-19,526,1750,1001,648,77.48,79.79,17.0,100.0,0,Winter,40.0,0.0,0.0,60.0
2022-02-20,547,1538,544,738,86.39,90.98,14.0,100.0,0,Winter,40.0,0.0,20.0,40.0
2022-02-21,520,1375,183,630,87.63,84.81,6.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-02-22,443,1885,236,523,81.94,80.61,5.0,0.0,0,Winter,20.0,0.0,20.0,60.0
2022-02-23,584,1678,694,743,83.05,85.86,15.0,100.0,0,Winter,0.0,0.0,40.0,60.0
2022-02-24,490,1431,105,492,83.64,83.65,3.0,0.0,0,Winter,20.0,0.0,80.0,0.0
2022-02-25,511,1046,963,600,90.68,86.89,5.0,0.0,0,Winter,40.0,0.0,60.0,0.0
2022-02-26,467,1099,181,520,88.1,84.28,4.0,0.0,0,Winter,80.0,0.0,20.0,0.0
2022-02-27,519,1128,1448,793,80.2,73.76,24.0,100.0,0,Winter,0.0,0.0,40.0,60.0
2022-02-28,429,1322,145,535,82.81,90.82,4.0,0.0,0,Winter,40.0,0.0,60.0,0.0
2022-03-01,497,1318,74,604,87.29,91.89,6.0,0.0,0,Spring,0.0,20.0,0.0,80.0
2022-03-02,689,1791,1453,955,91.19,96.46,17.0,100.0,0,Spring,80.0,20.0,0.0,0.0
2022-03-03,368,1561,0,459,78.26,80.49,8.0,0.0,0,Spring,0.0,40.0,0.0,60.0
2022-03-04,486,1580,139,512,80.88,76.44,7.0,0.0,0,Spring,60.0,0.0,0.0,40.0
2022-03-05,452,1840,201,499,82.73,90.48,4.0,0.0,0,Spring,20.0,20.0,0.0,60.0
2022-03-06,505,1589,335,594,85.38,89.45,7.0,0.0,0,Spring,20.0,60.0,0.0,20.0
2022-03-07,477,1419,673,537,85.41,86.29,5.0,0.0,0,Spring,40.0,20.0,0.0,40.0
2022-03-08,614,1058,1083,738,83.38,86.16,16.0,100.0,0,Spring,80.0,0.0,0.0,20.0
2022-03-09,366,968,0,477,72.64,73.83,15.0,100.0,0,Spring,0.0,40.0,0.0,60.0
2022-03-10,667,1254,1099,723,80.3,91.46,17.0,100.0,0,Spring,0.0,100.0,0.0,0.0
2022-03-11,597,1279,279,685,78.04,81.47,16.0,100.0,0,Spring,20.0,80.0,0.0,0.0
2022-03-12,517,1327,140,563,84.11,89.26,6.0,0.0,0,Spring,40.0,0.0,0.0,60.0
2022-03-13,535,1455,688,587,85.35,90.15,6.0,0.0,0,Spring,0.0,20.0,0.0,80.0
2022-03-14,447,1160,476,535,84.95,84.05,5.0,0.0,0,Spring,80.0,20.0,0.0,0.0
2022-03-15,477,815,264,640,89.7,94.07,3.0,0.0,0,Spring,0.0,40.0,0.0,60.0
2022-03-16,560,1424,805,657,86.67,88.41,8.0,0.0,0,Spring,40.0,40.0,0.0,20.0
2022-03-17,667,1153,1029,726,77.73,73.23,23.0,100.0,0,Spring,60.0,20.0,0.0,20.0
2022-03-18,326,574,96,550,85.69,84.36,4.0,0.0,0,Spring,0.0,80.0,0.0,20.0
2022-03-19,371,1327,219,498,85.23,83.1,3.0,0.0,0,Spring,40.0,60.0,0.0,0.0
2022-03-20,682,1649,697,621,90.73,92.93,4.0,0.0,0,Spring,0.0,40.0,0.0,60.0
2022-03-21,424,1176,912,589,88.51,83.24,4.0,0.0,0,Spring,0.0,0.0,0.0,100.0
2022-03-22,293,971,0,382,74.45,81.34,7.0,0.0,0,Spring,20.0,80.0,0.0,0.0
2022-03-23,472,1471,245,569,75.67,81.01,16.0,100.0,0,Spring,0.0,40.0,0.0,60.0
2022-03-24,560,1632,686,682,92.51,97.92,3.0,0.0,0,Spring,0.0,20.0,0.0,80.0
2022-03-25,509,1294,314,656,79.27,76.86,17.0,100.0,0,Spring,80.0,0.0,0.0,20.0
2022-03-26,786,1099,993,867,85.98,89.61,19.0,100.0,0,Spring,60.0,0.0,0.0,40.0
2022-03-27,466,1155,1120,805,81.87,86.31,19.0,100.0,0,Spring,0.0,20.0,0.0,80.0
2022-03-28,439,1131,83,476,81.06,76.33,5.0,0.0,0,Spring,0.0,100.0,0.0,0.0
2022-03-29,472,1412,271,595,88.47,85.63,5.0,0.0,0,Spring,40.0,20.0,0.0,40.0
2022-03-30,345,1867,216,403,77.63,76.9,5.0,0.0,0,Spring,80.0,20.0,0.0,0.0
2022-03-31,339,1738,0,348,76.07,75.31,3.0,0.0,0,Spring,20.0,60.0,0.0,20.0
2022-04-01,343,1399,455,407,74.9,78.47,6.0,0.0,0,Spring,40.0,20.0,0.0,40.0
2022-04-02,543,1231,948,737,85.71,85.0,14.0,100.0,0,Spring,0.0,60.0,0.0,40.0
2022-04-03,360,1372,0,415,73.74,78.52,8.0,0.0,0,Spring,80.0,0.0,0.0,20.0
2022-04-04,415,1012,386,487,77.39,76.55,8.0,0.0,0,Spring,40.0,60.0,0.0,0.0
2022-04-05,497,1215,663,579,85.25,94.35,5.0,0.0,0,Spring,60.0,40.0,0.0,0.0
2022-04-06,655,1274,639,710,82.45,88.84,13.0,100.0,0,Spring,80.0,0.0,0.0,20.0
2022-04-07,405,872,165,501,80.49,84.66,6.0,0.0,0,Spring,20.0,20.0,0.0,60.0
2022-04-08,366,1437,489,493,86.81,82.93,1.0,0.0,0,Spring,0.0,40.0,0.0,60.0
2022-04-09,473,1310,108,520,81.66,88.65,6.0,0.0,0,Spring,40.0,40.0,0.0,20.0
2022-04-10,362,945,226,447,80.61,79.99,4.0,0.0,0,Spring,60.0,40.0,0.0,0.0
2022-04-11,395,1059,662,474,79.07,80.12,5.0,0.0,0,Spring,40.0,20.0,0.0,40.0
2022-04-12,477,944,793,614,89.74,82.86,4.0,0.0,0,Spring,40.0,0.0,0.0,60.0
2022-04-13,390,703,599,599,86.26,91.86,9.0,0.0,0,Spring,40.0,0.0,0.0,60.0
2022-04-14,513,779,1084,634,78.78,75.36,19.0,100.0,0,Spring,20.0,40.0,0.0,40.0
2022-04-15,441,1142,468,631,87.86,93.81,6.0,0.0,0,Spring,0.0,20.0,0.0,80.0
2022-04-16,689,1491,912,683,79.57,84.7,17.0,100.0,0,Spring,20.0,60.0,0.0,20.0
2022-04-17,592,2062,405,628,89.34,84.52,5.0,0.0,0,Spring,60.0,0.0,0.0,40.0
2022-04-18,549,1619,182,590,87.81,88.99,4.0,0.0,0,Spring,80.0,0.0,0.0,20.0
2022-04-19,636,2118,740,714,91.15,98.54,5.0,0.0,0,Spring,40.0,20.0,0.0,40.0
2022-04-20,494,1764,106,554,82.0,84.2,8.0,0.0,0,Spring,20.0,20.0,0.0,60.0
2022-04-21,316,1834,150,414,76.58,78.95,6.0,0.0,0,Spring,0.0,100.0,0.0,0.0
2022-04-22,378,1668,255,433,80.53,85.87,3.0,0.0,0,Spring,0.0,80.0,0.0,20.0
2022-04-23,451,1545,151,503,78.39,79.31,12.0,100.0,1,Spring,20.0,0.0,0.0,80.0
2022-04-24,375,1245,509,464,71.8,74.45,15.0,100.0,1,Spring,0.0,60.0,0.0,40.0
2022-04-25,585,1076,908,620,76.72,76.66,19.0,100.0,1,Spring,0.0,20.0,0.0,80.0
2022-04-26,430,794,623,491,75.64,71.56,15.0,100.0,1,Spring,20.0,80.0,0.0,0.0
2022-04-27,390,1002,220,492,67.67,69.16,21.0,100.0,1,Spring,20.0,40.0,0.0,40.0
2022-04-28,460,1180,606,509,75.53,71.03,16.0,100.0,1,Spring,60.0,20.0,0.0,20.0
2022-04-29,319,1265,124,340,76.58,78.91,2.0,0.0,1,Spring,0.0,40.0,0.0,60.0
2022-04-30,360,1237,194,402,76.87,78.75,6.0,0.0,1,Spring,0.0,40.0,0.0,60.0
2022-05-01,426,1510,301,441,80.54,80.69,5.0,0.0,1,Spring,40.0,20.0,0.0,40.0
2022-05-02,366,1274,364,446,83.4,85.56,2.0,0.0,1,Spring,0.0,60.0,0.0,40.0
2022-05-03,435,1125,531,539,83.38,85.92,5.0,0.0,1,Spring,20.0,20.0,0.0,60.0
2022-05-04,346,1155,215,358,72.11,72.0,7.0,0.0,1,Spring,60.0,20.0,0.0,20.0
2022-05-05,388,1024,123,435,81.04,83.45,3.0,0.0,1,Spring,40.0,40.0,0.0,20.0
2022-05-06,355,1083,543,477,79.02,82.66,5.0,0.0,1,Spring,0.0,40.0,0.0,60.0
2022-05-07,399,865,326,441,69.65,73.01,16.0,100.0,1,Spring,20.0,40.0,0.0,40.0
2022-05-08,463,762,458,430,80.98,79.09,3.0,0.0,1,Spring,40.0,40.0,0.0,20.0
2022-05-09,233,948,170,280,68.68,73.58,5.0,0.0,1,Spring,80.0,0.0,0.0,20.0
2022-05-10,314,885,332,397,72.23,80.36,7.0,0.0,1,Spring,0.0,40.0,0.0,60.0
2022-05-11,367,913,627,430,78.08,77.6,8.0,0.0,1,Spring,80.0,0.0,0.0,20.0
2022-05-12,422,924,199,447,79.81,78.48,7.0,0.0,1,Spring,40.0,60.0,0.0,0.0
2022-05-13,428,701,1349,582,75.32,80.39,18.0,100.0,1,Spring,0.0,40.0,0.0,60.0
2022-05-14,473,938,198,515,79.09,83.88,10.0,100.0,1,Spring,40.0,60.0,0.0,0.0
2022-05-15,309,880,89,408,78.62,78.87,4.0,0.0,1,Spring,60.0,0.0,0.0,40.0
2022-05-16,494,1611,283,526,69.83,69.29,21.0,100.0,1,Spring,20.0,40.0,0.0,40.0
2022-05-17,396,1400,327,476,82.19,85.47,5.0,0.0,1,Spring,20.0,20.0,0.0,60.0
2022-05-18,321,1185,121,396,77.42,80.96,3.0,0.0,1,Spring,80.0,20.0,0.0,0.0
2022-05-19,536,1131,847,622,72.36,79.55,21.0,100.0,1,Spring,60.0,40.0,0.0,0.0
2022-05-20,411,930,564,489,81.76,88.2,6.0,0.0,1,Spring,60.0,20.0,0.0,20.0
2022-05-21,362,714,479,435,78.89,79.2,8.0,0.0,1,Spring,40.0,40.0,0.0,20.0
2022-05-22,349,795,331,387,74.9,75.68,7.0,0.0,1,Spring,40.0,0.0,0.0,60.0
2022-05-23,476,1177,487,618,75.73,73.41,21.0,100.0,1,Spring,40.0,60.0,0.0,0.0
