Date,Units Sold,Inventory Level,Units Ordered,Demand,Price,Competitor Pricing,Discount,Promotion,Epidemic,Seasonality,Weather_Cloudy,Weather_Rainy,Weather_Snowy,Weather_Sunny
2022-01-01,410,1080,1366,479,34.89,36.55,4.0,0.0,0,Winter,20.0,0.0,60.0,20.0
2022-01-02,401,670,1060,522,33.42,35.82,2.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-03,106,269,436,468,34.93,36.61,3.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-04,236,389,944,744,36.82,34.77,17.0,100.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-05,441,1429,0,503,34.31,37.62,7.0,0.0,0,Winter,20.0,0.0,60.0,20.0
2022-01-06,555,2622,275,628,41.23,39.66,3.0,0.0,0,Winter,0.0,0.0,60.0,40.0
2022-01-07,622,2067,492,691,32.03,33.18,18.0,100.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-08,789,2390,2164,836,38.72,38.0,14.0,100.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-09,374,1601,0,576,34.91,37.44,7.0,0.0,0,Winter,40.0,0.0,0.0,60.0
2022-01-10,599,1719,288,640,35.95,36.69,15.0,100.0,0,Winter,100.0,0.0,0.0,0.0
2022-01-11,555,1561,362,672,38.46,39.95,7.0,0.0,0,Winter,60.0,0.0,0.0,40.0
2022-01-12,408,3017,932,546,37.62,35.41,5.0,0.0,0,Winter,0.0,0.0,80.0,20.0
2022-01-13,595,2609,730,595,35.16,40.24,5.0,0.0,0,Winter,100.0,0.0,0.0,0.0
2022-01-14,657,2254,592,778,34.84,33.02,20.0,100.0,0,Winter,40.0,0.0,20.0,40.0
2022-01-15,393,1959,0,517,37.1,34.63,7.0,0.0,0,Winter,0.0,0.0,40.0,60.0
2022-01-16,473,2514,0,488,33.67,35.54,4.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-17,672,3107,1664,732,38.0,36.86,19.0,100.0,0,Winter,20.0,0.0,40.0,40.0
2022-01-18,426,2435,0,508,34.44,39.61,7.0,0.0,0,Winter,40.0,0.0,60.0,0.0
2022-01-19,381,2461,0,488,34.43,36.56,3.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-20,499,2531,0,500,33.8,34.28,8.0,0.0,0,Winter,20.0,0.0,60.0,20.0
2022-01-21,732,2793,1889,836,39.13,39.16,15.0,100.0,0,Winter,0.0,0.0,40.0,60.0
2022-01-22,520,2061,788,547,34.92,34.44,5.0,0.0,0,Winter,20.0,0.0,20.0,60.0
2022-01-23,687,1816,859,749,40.62,43.18,12.0,100.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-24,402,1129,0,517,35.26,36.18,8.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-25,527,2881,0,608,36.24,37.69,16.0,100.0,0,Winter,20.0,0.0,80.0,0.0
2022-01-26,533,3461,0,540,40.7,41.04,5.0,0.0,0,Winter,60.0,0.0,40.0,0.0
2022-01-27,620,2928,1176,666,33.85,33.31,19.0,100.0,0,Winter,60.0,0.0,40.0,0.0
2022-01-28,513,2308,0,603,36.81,39.1,8.0,0.0,0,Winter,20.0,0.0,40.0,40.0
2022-01-29,545,2116,1029,603,35.03,37.64,8.0,0.0,0,Winter,20.0,0.0,0.0,80.0
2022-01-30,509,1749,347,530,40.02,44.6,3.0,0.0,0,Winter,40.0,0.0,60.0,0.0
2022-01-31,547,1917,0,609,37.72,35.95,8.0,0.0,0,Winter,60.0,0.0,0.0,40.0
2022-02-01,541,2076,518,567,34.36,31.26,14.0,100.0,0,Winter,0.0,0.0,100.0,0.0
2022-02-02,709,2205,1637,744,38.78,40.93,13.0,100.0,0,Winter,40.0,0.0,0.0,60.0
2022-02-03,436,1496,0,576,36.58,35.48,8.0,0.0,0,Winter,80.0,0.0,0.0,20.0
2022-02-04,441,1525,384,465,33.02,33.72,7.0,0.0,0,Winter,20.0,0.0,40.0,40.0
2022-02-05,429,2109,421,469,32.75,35.47,5.0,0.0,0,Winter,40.0,0.0,0.0,60.0
2022-02-06,454,2345,426,501,36.91,39.72,2.0,0.0,0,Winter,40.0,0.0,20.0,40.0
2022-02-07,473,1891,718,522,31.46,35.72,19.0,100.0,0,Winter,0.0,0.0,60.0,40.0
2022-02-08,535,1802,681,659,39.08,42.48,3.0,0.0,0,Winter,0.0,0.0,60.0,40.0
2022-02-09,503,1963,319,619,39.31,39.03,7.0,0.0,0,Winter,20.0,0.0,0.0,80.0
2022-02-10,453,2329,569,590,36.41,37.48,5.0,0.0,0,Winter,40.0,0.0,20.0,40.0
2022-02-11,569,2195,433,611,39.52,38.49,5.0,0.0,0,Winter,20.0,0.0,20.0,60.0
2022-02-12,834,2307,2481,1029,42.43,45.39,19.0,100.0,0,Winter,20.0,0.0,40.0,40.0
2022-02-13,514,1473,0,657,33.82,38.17,18.0,100.0,0,Winter,40.0,0.0,60.0,0.0
2022-02-14,586,2573,480,771,36.24,35.82,21.0,100.0,0,Winter,40.0,0.0,40.0,20.0
2022-02-15,432,1987,480,643,31.77,32.89,19.0,100.0,0,Winter,20.0,0.0,80.0,0.0
2022-02-16,471,3424,323,531,37.22,38.57,7.0,0.0,0,Winter,40.0,0.0,20.0,40.0
2022-02-17,399,3433,0,500,37.43,36.19,5.0,0.0,0,Winter,40.0,0.0,20.0,40.0
2022-02-18,569,3357,0,626,38.69,39.6,8.0,0.0,0,Winter,0.0,0.0,0.0,100.0
2022-02-19,565,3268,436,577,37.97,38.47,5.0,0.0,0,Winter,40.0,0.0,0.0,60.0
2022-02-20,703,2703,1493,672,40.39,42.84,1.0,0.0,0,Winter,40.0,0.0,20.0,40.0
2022-02-21,388,2000,0,446,35.5,39.64,4.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-02-22,469,2321,897,622,32.6,35.13,19.0,100.0,0,Winter,20.0,0.0,20.0,60.0
2022-02-23,450,1852,0,576,37.61,40.77,6.0,0.0,0,Winter,0.0,0.0,40.0,60.0
2022-02-24,421,2900,0,441,32.3,34.21,5.0,0.0,0,Winter,20.0,0.0,80.0,0.0
2022-02-25,391,2479,520,424,33.36,35.83,4.0,0.0,0,Winter,40.0,0.0,60.0,0.0
2022-02-26,543,2707,624,595,36.26,40.36,5.0,0.0,0,Winter,80.0,0.0,20.0,0.0
2022-02-27,565,2367,846,657,33.79,35.47,19.0,100.0,0,Winter,0.0,0.0,40.0,60.0
2022-02-28,686,2119,609,787,38.36,38.28,15.0,100.0,0,Winter,40.0,0.0,60.0,0.0
2022-03-01,618,1721,271,672,40.66,39.67,4.0,0.0,0,Spring,0.0,20.0,0.0,80.0
2022-03-02,577,1727,342,561,36.6,37.28,6.0,0.0,0,Spring,80.0,20.0,0.0,0.0
2022-03-03,761,1979,1460,793,34.66,37.47,20.0,100.0,0,Spring,0.0,40.0,0.0,60.0
2022-03-04,438,1827,638,575,36.47,33.45,7.0,0.0,0,Spring,60.0,0.0,0.0,40.0
2022-03-05,791,2069,1222,887,42.08,39.35,14.0,100.0,0,Spring,20.0,20.0,0.0,60.0
2022-03-06,523,1825,0,583,35.22,38.37,7.0,0.0,0,Spring,20.0,60.0,0.0,20.0
2022-03-07,473,2218,484,603,38.59,36.3,6.0,0.0,0,Spring,40.0,20.0,0.0,40.0
2022-03-08,457,2383,923,572,39.75,38.23,6.0,0.0,0,Spring,80.0,0.0,0.0,20.0
2022-03-09,565,2807,0,599,38.24,37.69,7.0,0.0,0,Spring,0.0,40.0,0.0,60.0
2022-03-10,513,3028,529,536,37.73,39.31,7.0,0.0,0,Spring,0.0,100.0,0.0,0.0
2022-03-11,890,2515,254,816,37.88,39.17,16.0,100.0,0,Spring,20.0,80.0,0.0,0.0
2022-03-12,831,2246,2662,965,40.11,36.23,19.0,100.0,0,Spring,40.0,0.0,0.0,60.0
2022-03-13,407,1669,422,561,34.29,34.62,6.0,0.0,0,Spring,0.0,20.0,0.0,80.0
2022-03-14,496,2103,0,612,33.47,35.04,16.0,100.0,0,Spring,80.0,20.0,0.0,0.0
2022-03-15,431,2064,0,478,34.62,31.59,5.0,0.0,0,Spring,0.0,40.0,0.0,60.0
2022-03-16,439,3526,0,560,34.72,38.78,7.0,0.0,0,Spring,40.0,40.0,0.0,20.0
2022-03-17,639,3509,1171,686,38.9,41.66,1.0,0.0,0,Spring,60.0,20.0,0.0,20.0
2022-03-18,394,2870,287,451,37.1,33.94,2.0,0.0,0,Spring,0.0,80.0,0.0,20.0
2022-03-19,451,2476,493,496,30.54,33.24,16.0,100.0,0,Spring,40.0,60.0,0.0,0.0
2022-03-20,740,2752,573,793,42.24,44.43,16.0,100.0,0,Spring,0.0,40.0,0.0,60.0
2022-03-21,643,2743,460,848,35.96,36.51,22.0,100.0,0,Spring,0.0,0.0,0.0,100.0
2022-03-22,391,2673,0,443,35.03,38.84,4.0,0.0,0,Spring,20.0,80.0,0.0,0.0
