Date,Actual,Forecast,Error,Absolute_Error
2024-01-03,360,330,-30,30
2024-01-04,437,375,-62,62
2024-01-05,415,388,-27,27
2024-01-06,466,467,1,1
2024-01-07,278,399,121,121
2024-01-08,372,399,27,27
2024-01-09,516,495,-21,21
2024-01-10,406,451,45,45
2024-01-11,589,647,58,58
2024-01-12,553,535,-18,18
2024-01-13,606,543,-63,63
2024-01-14,517,448,-69,69
2024-01-15,389,405,16,16
2024-01-16,518,575,57,57
2024-01-17,635,572,-63,63
2024-01-18,487,501,14,14
2024-01-19,439,407,-32,32
2024-01-20,658,687,29,29
2024-01-21,633,573,-60,60
2024-01-22,437,558,121,121
2024-01-23,426,381,-45,45
2024-01-24,939,724,-215,215
2024-01-25,416,725,309,309
2024-01-26,539,484,-55,55
2024-01-27,574,634,60,60
2024-01-28,545,494,-51,51
2024-01-29,285,414,129,129
2024-01-30,464,470,6,6
